ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0111-0591,110,110,56.0,8025.161,2417.146,3506.0,3506.0,11430.0,531.494,591.285,0.722,449409.0,8273.0,449409.0,2.448,0.408,0.868
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0112-0609,111,111,104.0,6905.337,2023.847,7181.0,2650.0,10690.0,511.318,608.481,0.453,718155.0,7181.0,718155.0,3.179,0.315,0.722
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0113-0610,112,112,120.0,4454.5,957.18,3542.0,2614.0,6319.0,959.26,609.635,0.647,534540.0,4501.0,534540.0,2.752,0.363,0.845
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0114-0607,113,113,70.0,6857.6,1797.533,3476.0,3476.0,9794.0,462.931,606.611,0.656,480032.0,7040.0,480032.0,2.688,0.372,0.828
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0115-0608,114,114,91.0,8067.945,2014.214,7010.0,3647.0,11885.0,382.66,607.678,0.568,734183.0,8096.0,734183.0,2.73,0.366,0.781
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0116-0617,115,115,103.0,5715.777,1463.182,2403.0,2403.0,8549.0,848.54,616.541,0.589,588725.0,5984.0,588725.0,2.878,0.347,0.808
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0117-0620,116,116,99.0,6060.313,1839.916,6664.0,2845.0,9903.0,620.159,619.131,0.575,599971.0,6118.0,599971.0,2.939,0.34,0.773
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0118-0628,117,117,72.0,6081.792,1000.221,3723.0,3723.0,8149.0,103.304,627.638,0.606,437889.0,6162.0,437889.0,2.934,0.341,0.814
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0119-0637,118,118,79.0,5978.861,2313.093,2457.0,2457.0,10089.0,657.775,636.979,0.704,472330.0,5656.0,472330.0,2.625,0.381,0.935
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0120-0647,119,120,65.0,5340.4,693.429,5509.0,3815.0,6648.0,104.78,647.632,0.593,347126.0,5350.0,347126.0,3.476,0.288,0.812
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0121-0647,120,119,60.0,6185.85,1024.646,3968.0,3968.0,8428.0,115.388,646.261,0.746,371151.0,6255.0,371151.0,2.251,0.444,0.863
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0122-0663,121,121,96.0,5960.302,1516.474,3135.0,3135.0,9282.0,365.427,663.922,0.549,572189.0,5726.0,572189.0,2.827,0.354,0.777
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0123-0667,122,122,133.0,4530.451,1017.479,4570.0,2561.0,7008.0,971.355,668.013,0.592,602550.0,4547.0,602550.0,2.766,0.361,0.782
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0124-0665,123,123,105.0,5602.429,1171.648,4723.0,2950.0,7797.0,399.565,666.681,0.51,588255.0,5568.0,588255.0,3.537,0.283,0.775
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0125-0677,124,124,159.0,6121.346,1485.841,5648.0,3021.0,9846.0,437.131,676.18,0.364,973294.0,6123.0,973294.0,1.401,0.714,0.601
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0126-0683,125,125,247.0,5075.453,675.235,5301.0,3226.0,7010.0,84.553,687.182,0.282,1253637.0,5077.0,1253637.0,2.45,0.408,0.465
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0127-0678,126,126,73.0,6009.192,1410.638,3405.0,3405.0,8785.0,274.226,677.648,0.787,438671.0,5936.0,438671.0,2.27,0.44,0.948
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0128-0685,127,127,123.0,6468.569,1886.505,2666.0,2666.0,9662.0,510.777,686.711,0.47,795634.0,6619.0,795634.0,3.269,0.306,0.713
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0129-0701,128,128,211.0,6654.299,1650.676,5878.0,2656.0,10255.0,672.16,702.19,0.329,1404057.0,6815.0,1404057.0,1.82,0.549,0.754
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0130-0698,129,129,99.0,6476.515,1740.477,2248.0,2248.0,9622.0,610.4,697.354,0.539,641175.0,6513.0,641175.0,3.16,0.316,0.786
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0131-0713,130,130,127.0,5298.598,993.416,4035.0,3457.0,7697.0,30.708,714.056,0.578,672922.0,5265.0,672922.0,3.073,0.325,0.796
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0132-0717,131,131,114.0,5562.912,890.873,5784.0,3300.0,7908.0,163.049,715.897,0.514,634172.0,5667.0,634172.0,3.42,0.292,0.743
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0133-0718,132,132,93.0,5411.398,1154.228,5188.0,2794.0,7975.0,210.166,718.403,0.619,503260.0,5408.0,503260.0,2.967,0.337,0.842
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0134-0731,133,133,101.0,4996.109,1328.709,4129.0,2293.0,7363.0,958.677,730.821,0.683,504607.0,5269.0,504607.0,2.624,0.381,0.867
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0135-0737,134,134,121.0,5176.785,762.686,5523.0,3437.0,6928.0,146.66,737.723,0.51,626391.0,5274.0,626391.0,3.489,0.287,0.763
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0136-0741,135,135,123.0,6065.301,1728.97,6062.0,2532.0,9239.0,704.111,740.346,0.525,746032.0,6219.0,746032.0,3.266,0.306,0.752
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0137-0744,136,136,80.0,6351.538,1729.212,2720.0,2720.0,9837.0,630.11,743.517,0.627,508123.0,6539.0,508123.0,2.519,0.397,0.816
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0138-0749,137,137,120.0,4874.108,786.777,4955.0,3068.0,6281.0,100.19,748.779,0.554,584893.0,4955.0,584893.0,3.437,0.291,0.795
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0139-0761,138,138,132.0,5068.045,862.486,4554.0,2610.0,6818.0,336.217,762.351,0.421,668982.0,5089.0,668982.0,2.935,0.341,0.639
Xyl_region3_venus_KL1__t9_phase_analysis,9,signal:0140-0773,139,139,57.0,5064.123,781.792,3150.0,3150.0,6900.0,13.676,772.727,0.853,288655.0,4943.0,288655.0,1.747,0.573,0.905
