ImageId,TP,Label,ObjectId,ParentId,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,RawIntDen,AR,Round,Solidity
PxylX_region1_KL__t1_phase_analysis,1,signal:0087-0721,86,-1,81.0,14664.975,7334.447,3412.0,3412.0,26064.0,793.304,722.034,0.691,1187863.0,15303.0,1187863.0,2.462,0.406,0.866
PxylX_region1_KL__t1_phase_analysis,1,signal:0088-0723,87,-1,67.0,16122.164,5602.537,5691.0,5691.0,25663.0,11.757,723.508,0.727,1080185.0,16331.0,1080185.0,2.521,0.397,0.865
PxylX_region1_KL__t1_phase_analysis,1,signal:0089-0730,88,-1,96.0,16743.062,7214.593,26028.0,3761.0,27407.0,661.344,730.226,0.606,1607334.0,18094.0,1607334.0,2.978,0.336,0.821
PxylX_region1_KL__t1_phase_analysis,1,signal:0090-0741,89,-1,99.0,22751.192,12049.403,4823.0,4823.0,41271.0,738.363,740.89,0.547,2252368.0,22410.0,2252368.0,2.356,0.425,0.723
PxylX_region1_KL__t1_phase_analysis,1,signal:0091-0741,90,-1,73.0,23446.767,7855.044,6922.0,6922.0,35215.0,355.945,742.309,0.662,1711614.0,24500.0,1711614.0,2.618,0.382,0.854
PxylX_region1_KL__t1_phase_analysis,1,signal:0092-0753,91,-1,86.0,18388.395,8228.574,4489.0,4489.0,31363.0,537.162,753.813,0.663,1581402.0,20092.0,1581402.0,2.6,0.385,0.882
PxylX_region1_KL__t1_phase_analysis,1,signal:0093-0758,92,-1,82.0,17297.366,8212.049,7463.0,3376.0,30680.0,795.031,758.058,0.703,1418384.0,17251.0,1418384.0,2.552,0.392,0.845
PxylX_region1_KL__t1_phase_analysis,1,signal:0094-0759,93,-1,84.0,14145.619,7196.325,3335.0,3335.0,27024.0,968.266,759.691,0.752,1188232.0,13695.0,1188232.0,2.173,0.46,0.88
PxylX_region1_KL__t1_phase_analysis,1,signal:0095-0776,94,-1,80.0,11529.388,5180.699,3281.0,3281.0,20912.0,994.129,776.824,0.713,922351.0,11566.0,922351.0,2.489,0.402,0.894
PxylX_region1_KL__t1_phase_analysis,1,signal:0096-0776,95,-1,67.0,20770.642,6957.767,6413.0,6413.0,31756.0,97.548,776.329,0.64,1391633.0,21659.0,1391633.0,2.731,0.366,0.843
PxylX_region1_KL__t1_phase_analysis,1,signal:0097-0784,96,-1,79.0,17853.848,6815.663,4845.0,4845.0,28587.0,316.814,784.299,0.627,1410454.0,17796.0,1410454.0,2.636,0.379,0.854
PxylX_region1_KL__t1_phase_analysis,1,signal:0098-0790,97,-1,84.0,18458.655,8449.408,3852.0,3852.0,31363.0,652.488,791.695,0.621,1550527.0,19656.0,1550527.0,2.904,0.344,0.862
PxylX_region1_KL__t1_phase_analysis,1,signal:0099-0792,98,-1,89.0,11964.798,5397.131,2730.0,2730.0,20891.0,892.011,792.765,0.736,1064867.0,13032.0,1064867.0,2.57,0.389,0.904
PxylX_region1_KL__t1_phase_analysis,1,signal:0100-0811,99,-1,62.0,19471.839,6477.495,6140.0,6140.0,30431.0,124.707,812.278,0.706,1207254.0,19477.0,1207254.0,2.464,0.406,0.867
PxylX_region1_KL__t1_phase_analysis,1,signal:0101-0813,100,-1,88.0,14146.295,7034.093,3925.0,3925.0,26200.0,969.511,813.207,0.719,1244874.0,12822.0,1244874.0,2.362,0.423,0.871
PxylX_region1_KL__t1_phase_analysis,1,signal:0102-0818,101,-1,178.0,22575.219,8918.857,3779.0,3779.0,35535.0,541.332,816.564,0.37,4018389.0,23835.0,4018389.0,1.324,0.755,0.623
PxylX_region1_KL__t1_phase_analysis,1,signal:0103-0839,102,-1,67.0,15242.91,7218.456,3882.0,3882.0,27516.0,625.326,839.575,0.803,1021275.0,15352.0,1021275.0,2.374,0.421,0.924
PxylX_region1_KL__t1_phase_analysis,1,signal:0104-0858,103,-1,118.0,16827.551,6010.051,4806.0,4806.0,25843.0,257.306,857.01,0.51,1985651.0,18281.0,1985651.0,2.965,0.337,0.711
PxylX_region1_KL__t1_phase_analysis,1,signal:0105-0857,104,-1,91.0,20044.538,9176.566,4893.0,4893.0,34705.0,439.813,858.96,0.568,1824053.0,21972.0,1824053.0,2.985,0.335,0.795
PxylX_region1_KL__t1_phase_analysis,1,signal:0106-0860,105,-1,88.0,16220.239,7446.402,3688.0,3688.0,28245.0,338.02,861.055,0.618,1427381.0,16429.0,1427381.0,2.552,0.392,0.779
PxylX_region1_KL__t1_phase_analysis,1,signal:0107-0876,106,-1,100.0,17905.15,8017.946,4018.0,4018.0,30634.0,488.314,876.417,0.558,1790515.0,18927.0,1790515.0,3.125,0.32,0.794
PxylX_region1_KL__t1_phase_analysis,1,signal:0108-0876,107,-1,89.0,19455.449,6218.581,27151.0,6370.0,29378.0,122.494,877.335,0.556,1731535.0,20308.0,1731535.0,3.018,0.331,0.774
PxylX_region1_KL__t1_phase_analysis,1,signal:0109-0882,108,-1,83.0,17124.12,9459.38,3561.0,3561.0,32671.0,752.348,882.404,0.753,1421302.0,16560.0,1421302.0,2.223,0.45,0.888
PxylX_region1_KL__t1_phase_analysis,1,signal:0110-0895,109,-1,101.0,16804.455,5332.519,4930.0,4930.0,24970.0,12.455,894.34,0.539,1697250.0,17311.0,1697250.0,3.001,0.333,0.777
PxylX_region1_KL__t1_phase_analysis,1,signal:0111-0904,110,-1,99.0,17280.636,8738.329,3572.0,3572.0,31812.0,646.062,905.372,0.572,1710783.0,17478.0,1710783.0,3.1,0.323,0.811
PxylX_region1_KL__t1_phase_analysis,1,signal:0112-0907,111,-1,92.0,21380.674,8966.054,4184.0,4184.0,34808.0,316.639,908.198,0.629,1967022.0,23394.0,1967022.0,2.818,0.355,0.848
PxylX_region1_KL__t1_phase_analysis,1,signal:0113-0903,112,-1,85.0,16443.271,8094.043,6127.0,2919.0,29289.0,572.518,903.697,0.686,1397678.0,17315.0,1397678.0,2.525,0.396,0.846
PxylX_region1_KL__t1_phase_analysis,1,signal:0114-0921,113,-1,80.0,17283.912,8115.361,3803.0,3803.0,30828.0,494.438,921.981,0.635,1382713.0,16928.0,1382713.0,2.958,0.338,0.856
PxylX_region1_KL__t1_phase_analysis,1,signal:0115-0926,114,-1,154.0,21683.526,8622.87,3729.0,3729.0,36381.0,542.045,926.706,0.539,3339263.0,23421.0,3339263.0,2.328,0.43,0.788
PxylX_region1_KL__t1_phase_analysis,1,signal:0116-0931,115,-1,156.0,16599.487,5630.326,3862.0,3862.0,27671.0,92.162,933.056,0.382,2589520.0,16735.0,2589520.0,3.091,0.323,0.595
PxylX_region1_KL__t1_phase_analysis,1,signal:0117-0931,116,-1,101.0,16244.356,5512.699,4370.0,4370.0,24928.0,41.858,931.08,0.621,1640680.0,16899.0,1640680.0,2.691,0.372,0.824
PxylX_region1_KL__t1_phase_analysis,1,signal:0118-0929,117,-1,122.0,13175.82,6101.881,20714.0,2423.0,22600.0,857.479,931.16,0.5,1607450.0,13536.0,1607450.0,2.348,0.426,0.697
PxylX_region1_KL__t1_phase_analysis,1,signal:0119-0938,118,-1,91.0,17001.275,10568.194,3424.0,3424.0,34608.0,732.971,937.913,0.735,1547116.0,14727.0,1547116.0,2.205,0.454,0.879
PxylX_region1_KL__t1_phase_analysis,1,signal:0120-0943,119,-1,84.0,15682.714,6708.972,2450.0,2450.0,26360.0,581.806,944.956,0.711,1317348.0,15817.0,1317348.0,2.607,0.384,0.857
PxylX_region1_KL__t1_phase_analysis,1,signal:0121-0947,120,-1,83.0,17955.241,8135.507,3912.0,3912.0,29986.0,294.848,948.005,0.654,1490285.0,19103.0,1490285.0,2.923,0.342,0.856
PxylX_region1_KL__t1_phase_analysis,1,signal:0122-0946,121,-1,70.0,17400.357,6682.02,4109.0,4109.0,27396.0,317.95,946.061,0.709,1218025.0,17855.0,1218025.0,2.384,0.419,0.848
PxylX_region1_KL__t1_phase_analysis,1,signal:0123-0949,122,-1,77.0,14002.286,6170.907,2949.0,2949.0,24630.0,944.14,948.808,0.745,1078176.0,14126.0,1078176.0,2.242,0.446,0.885
PxylX_region1_KL__t1_phase_analysis,1,signal:0124-0965,123,-1,83.0,17732.771,7951.65,3850.0,3850.0,30412.0,360.206,966.542,0.678,1471820.0,18206.0,1471820.0,2.493,0.401,0.847
PxylX_region1_KL__t1_phase_analysis,1,signal:0125-0976,124,-1,108.0,18494.731,11311.355,3569.0,3569.0,37173.0,711.899,976.049,0.667,1997431.0,16579.0,1997431.0,2.534,0.395,0.85
PxylX_region1_KL__t1_phase_analysis,1,signal:0126-0985,125,-1,192.0,20106.839,7837.18,3555.0,3555.0,32813.0,773.367,985.583,0.778,3860513.0,22184.0,3860513.0,2.014,0.497,0.908
PxylX_region1_KL__t1_phase_analysis,1,signal:0127-0985,126,-1,63.0,15754.032,8500.955,3465.0,3465.0,30632.0,368.6,985.664,0.783,992504.0,15246.0,992504.0,2.076,0.482,0.875
